file_id,organism,locus_tag,ess,conf,conf_aamean,conf_bos,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0107,0,0.24205199,0.05151937,0.015322297,0.10296455233333333
C018,Escherichia coli K-12 BW25113,BW25113_0108,0,0.00070470775,3.679476e-05,0.09208621,0.03094257083666667
C018,Escherichia coli K-12 BW25113,BW25113_0109,0,0.25046915,0.47246444,0.13764845,0.28686068000000003
C018,Escherichia coli K-12 BW25113,BW25113_0110,0,0.003317379,0.049905423,0.006219046,0.019813949333333334
C018,Escherichia coli K-12 BW25113,BW25113_0111,0,0.00026733443,0.026866945,0.032630187,0.01992148881
C018,Escherichia coli K-12 BW25113,BW25113_0112,0,0.03400317,0.038064163,0.019379972,0.030482435
C018,Escherichia coli K-12 BW25113,BW25113_0113,0,0.007363486,0.0047229845,0.024366675,0.012151048499999999
C018,Escherichia coli K-12 BW25113,BW25113_0114,0,0.72292894,0.79741925,0.9081235,0.8094905633333332
C018,Escherichia coli K-12 BW25113,BW25113_0115,0,0.8752042,0.8505913,0.717251,0.8143488333333333
C018,Escherichia coli K-12 BW25113,BW25113_0116,0,0.83885235,0.90310043,0.851723,0.8645585933333333
C018,Escherichia coli K-12 BW25113,BW25113_0117,0,0.023818176,0.005123994,0.041081138,0.02334110266666667
C018,Escherichia coli K-12 BW25113,BW25113_0118,0,0.8502539,0.8418413,0.6854054,0.7925002000000001
C018,Escherichia coli K-12 BW25113,BW25113_0119,0,0.005182219,0.0005263476,0.11890596,0.04153817553333334
C018,Escherichia coli K-12 BW25113,BW25113_0120,0,0.16493915,0.13773851,0.013410313,0.10536265766666668
C018,Escherichia coli K-12 BW25113,BW25113_0121,0,0.016339332,0.018064037,0.0059470255,0.013450131500000002
C018,Escherichia coli K-12 BW25113,BW25113_0122,0,0.03296562,0.0765567,0.114821665,0.07478132833333334
C018,Escherichia coli K-12 BW25113,BW25113_0123,0,0.0050149737,0.008722271,0.034890857,0.01620936723333333
C018,Escherichia coli K-12 BW25113,BW25113_0124,0,0.1563069,0.226386,0.46860516,0.28376602
C018,Escherichia coli K-12 BW25113,BW25113_0125,0,0.073688604,0.088647634,0.29778028,0.15337217266666667
C018,Escherichia coli K-12 BW25113,BW25113_0126,1,0.8690305,0.97245455,0.77804047,0.8731751733333334
C018,Escherichia coli K-12 BW25113,BW25113_0127,0,0.21065597,0.1347713,0.05673029,0.13405252
C018,Escherichia coli K-12 BW25113,BW25113_0128,0,0.004389264,0.016115036,0.18526569,0.06858999666666667
C018,Escherichia coli K-12 BW25113,BW25113_0129,0,0.029428821,0.050423473,0.048034556,0.04262895
C018,Escherichia coli K-12 BW25113,BW25113_0130,0,0.2197772,0.20847863,0.14892784,0.1923945566666667
C018,Escherichia coli K-12 BW25113,BW25113_0131,0,0.015953148,0.0252052,0.03407469,0.025077679333333335
C018,Escherichia coli K-12 BW25113,BW25113_0132,0,0.026481979,0.11315774,0.002494145,0.047377954666666666
C018,Escherichia coli K-12 BW25113,BW25113_0133,0,0.77993304,0.55426383,0.70005625,0.6780843733333333
C018,Escherichia coli K-12 BW25113,BW25113_0134,0,0.3951192,0.56081,0.83605874,0.5973293133333334
C018,Escherichia coli K-12 BW25113,BW25113_0135,0,0.011371188,0.011217544,0.0022177377,0.008268823233333333
C018,Escherichia coli K-12 BW25113,BW25113_0136,0,0.015229945,0.011215921,0.02999095,0.018812272
C018,Escherichia coli K-12 BW25113,BW25113_0137,0,0.0031572178,0.0015530473,0.058437273,0.021049179366666667
C018,Escherichia coli K-12 BW25113,BW25113_0138,0,0.030413812,0.020423144,0.024574813,0.025137256333333333
C018,Escherichia coli K-12 BW25113,BW25113_0139,0,0.057798557,0.052933104,0.00673488,0.03915551366666667
C018,Escherichia coli K-12 BW25113,BW25113_0140,0,0.0047266977,0.24700326,0.015105283,0.08894508023333335
C018,Escherichia coli K-12 BW25113,BW25113_0141,0,0.0061488445,0.004763184,0.055005252,0.021972426833333333
C018,Escherichia coli K-12 BW25113,BW25113_0142,1,0.8480321,0.46198118,0.7816163,0.6972098600000001
C018,Escherichia coli K-12 BW25113,BW25113_0143,0,0.41094747,0.3329819,0.35169736,0.36520891
C018,Escherichia coli K-12 BW25113,BW25113_0144,0,0.08219833,0.28927496,0.1067448,0.15940603
C018,Escherichia coli K-12 BW25113,BW25113_0145,0,0.77786225,0.70072645,0.2431493,0.5739126666666666
C018,Escherichia coli K-12 BW25113,BW25113_0146,0,0.005867983,0.013177182,0.019978326,0.013007830333333336
C018,Escherichia coli K-12 BW25113,BW25113_0147,0,0.040928863,0.017405398,0.007411642,0.021915300999999998
C018,Escherichia coli K-12 BW25113,BW25113_0148,0,0.018613547,0.009778925,0.009236345,0.012542939000000001
C018,Escherichia coli K-12 BW25113,BW25113_0149,0,0.0728172,0.20671308,0.08910895,0.12287974333333335
C018,Escherichia coli K-12 BW25113,BW25113_0150,0,0.039880976,0.06698106,0.015143545,0.040668526999999996
C018,Escherichia coli K-12 BW25113,BW25113_0151,0,0.13121246,0.05147866,0.054111287,0.07893413566666667
C018,Escherichia coli K-12 BW25113,BW25113_0152,0,0.00078621274,0.001197481,0.00422677,0.00207015458
C018,Escherichia coli K-12 BW25113,BW25113_0153,0,0.18456581,0.102871716,0.37142986,0.21962246200000002
C018,Escherichia coli K-12 BW25113,BW25113_0154,1,0.45616025,0.6529527,0.7334393,0.6141840833333334
C018,Escherichia coli K-12 BW25113,BW25113_0155,0,0.01545179,0.06894979,0.013167997,0.03252319233333333
C018,Escherichia coli K-12 BW25113,BW25113_0156,1,0.80394113,0.80270433,0.9522439,0.8529631200000001
C018,Escherichia coli K-12 BW25113,BW25113_0157,0,0.03683289,0.013591608,0.1667717,0.07239873266666667
C018,Escherichia coli K-12 BW25113,BW25113_0158,0,0.0095600765,0.0014874727,0.0016215143,0.004223021166666666
C018,Escherichia coli K-12 BW25113,BW25113_0159,0,0.8305531,0.5945204,0.76649237,0.7305219566666666
C018,Escherichia coli K-12 BW25113,BW25113_0160,0,0.015507527,0.033513147,0.1141511,0.05439059133333333
C018,Escherichia coli K-12 BW25113,BW25113_0161,0,0.28247818,0.05663217,0.042924892,0.12734508066666667
C018,Escherichia coli K-12 BW25113,BW25113_0162,0,0.0974669,0.16140606,0.024932474,0.09460181133333333
C018,Escherichia coli K-12 BW25113,BW25113_0163,0,0.02863978,0.48192182,0.23439671,0.24831943666666664
C018,Escherichia coli K-12 BW25113,BW25113_0164,0,0.122184515,0.06161478,0.33376533,0.17252154166666667
C018,Escherichia coli K-12 BW25113,BW25113_0166,1,0.6921077,0.92735964,0.8878821,0.8357831466666666
C018,Escherichia coli K-12 BW25113,BW25113_0167,0,0.2404108,0.46214733,0.18729398,0.29661737
C018,Escherichia coli K-12 BW25113,BW25113_0168,1,0.83712846,0.8357202,0.7797457,0.8175314533333333
C018,Escherichia coli K-12 BW25113,BW25113_0169,1,0.95414984,0.9073412,0.9223373,0.92794278
C018,Escherichia coli K-12 BW25113,BW25113_0170,1,0.93450266,0.98215115,0.84207803,0.91957728
C018,Escherichia coli K-12 BW25113,BW25113_0171,1,0.9859439,0.9660573,0.975863,0.9759547333333334
C018,Escherichia coli K-12 BW25113,BW25113_0172,1,0.9863739,0.9769927,0.9802387,0.9812017666666667
C018,Escherichia coli K-12 BW25113,BW25113_0173,1,0.95063925,0.99156296,0.99494344,0.97904855
C018,Escherichia coli K-12 BW25113,BW25113_0174,1,0.9459329,0.98597765,0.9895695,0.9738266833333333
C018,Escherichia coli K-12 BW25113,BW25113_0175,1,0.9885261,0.9782437,0.9888787,0.9852161666666667
C018,Escherichia coli K-12 BW25113,BW25113_0176,1,0.92151135,0.95332867,0.9348478,0.9365626066666666
C018,Escherichia coli K-12 BW25113,BW25113_0177,1,0.9598605,0.9910693,0.9933247,0.9814181666666667
C018,Escherichia coli K-12 BW25113,BW25113_0178,0,0.9316046,0.89032763,0.76467705,0.8622030933333334
C018,Escherichia coli K-12 BW25113,BW25113_0179,1,0.953459,0.9825643,0.98571765,0.9739136500000001
C018,Escherichia coli K-12 BW25113,BW25113_0180,1,0.9922118,0.9914152,0.97312826,0.9855850866666667
