file_id,organism,locus_tag,ess,conf,conf_aamean,conf_eos,conf_first,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0134,0,0.6516317,0.65539443,0.72104406,0.6228175,0.6627219225000001
C018,Escherichia coli K-12 BW25113,BW25113_0135,0,0.21500055,0.03066554,0.17858289,0.24586065,0.1675274075
C018,Escherichia coli K-12 BW25113,BW25113_0136,0,0.03273625,0.0026229224,0.068108924,0.036750372,0.035054617100000005
C018,Escherichia coli K-12 BW25113,BW25113_0137,0,0.0146665685,0.0015562188,0.07782542,0.067958176,0.040501595825
C018,Escherichia coli K-12 BW25113,BW25113_0138,0,0.07698291,0.018450258,0.13756765,0.33209014,0.1412727395
C018,Escherichia coli K-12 BW25113,BW25113_0139,0,0.07541455,0.07348681,0.24742097,0.27543637,0.16793967499999998
C018,Escherichia coli K-12 BW25113,BW25113_0140,0,0.110329375,0.13523771,0.092742726,0.05758857,0.09897459525
C018,Escherichia coli K-12 BW25113,BW25113_0141,0,0.033849142,0.006643545,0.054826237,0.2910038,0.096580681
C018,Escherichia coli K-12 BW25113,BW25113_0142,1,0.58872986,0.5627669,0.6877509,0.4976484,0.5842240150000001
C018,Escherichia coli K-12 BW25113,BW25113_0143,0,0.536872,0.7052002,0.64000154,0.30865857,0.5476830775
C018,Escherichia coli K-12 BW25113,BW25113_0144,0,0.27823108,0.15286097,0.3337765,0.32306898,0.2719843825
C018,Escherichia coli K-12 BW25113,BW25113_0145,0,0.7716917,0.49164394,0.477615,0.44323242,0.546045765
C018,Escherichia coli K-12 BW25113,BW25113_0146,0,0.07704054,0.05477879,0.17875786,0.20493886,0.1288790125
C018,Escherichia coli K-12 BW25113,BW25113_0147,0,0.12676185,0.056249913,0.221038,0.12881017,0.13321498325
C018,Escherichia coli K-12 BW25113,BW25113_0148,0,0.44856486,0.19599052,0.5464996,0.19881803,0.3474682525
C018,Escherichia coli K-12 BW25113,BW25113_0149,0,0.5575387,0.43572286,0.42965987,0.41318816,0.45902739750000005
C018,Escherichia coli K-12 BW25113,BW25113_0150,0,0.027592978,0.16603969,0.13961521,0.1969379,0.1325464445
C018,Escherichia coli K-12 BW25113,BW25113_0151,0,0.1826945,0.1398242,0.25273034,0.62052214,0.29894279500000004
C018,Escherichia coli K-12 BW25113,BW25113_0152,0,0.11893633,0.02131093,0.15048492,0.2295176,0.130062445
C018,Escherichia coli K-12 BW25113,BW25113_0153,0,0.32629007,0.40050066,0.35441813,0.19163932,0.318212045
C018,Escherichia coli K-12 BW25113,BW25113_0154,1,0.7720558,0.7151994,0.55154395,0.6672089,0.6765020125
C018,Escherichia coli K-12 BW25113,BW25113_0155,0,0.16210304,0.20653465,0.2274075,0.18291785,0.19474076
C018,Escherichia coli K-12 BW25113,BW25113_0156,1,0.8722112,0.8962568,0.76947975,0.87885445,0.85420055
C018,Escherichia coli K-12 BW25113,BW25113_0157,0,0.30669966,0.02410262,0.19086881,0.02793707,0.13740204
C018,Escherichia coli K-12 BW25113,BW25113_0158,0,0.14760497,0.0880742,0.36913696,0.035189267,0.16000134925
C018,Escherichia coli K-12 BW25113,BW25113_0159,0,0.7273316,0.80608237,0.63773257,0.9108058,0.770488085
C018,Escherichia coli K-12 BW25113,BW25113_0160,0,0.07589625,0.014269139,0.29060984,0.23297937,0.15343864975
C018,Escherichia coli K-12 BW25113,BW25113_0161,0,0.2533129,0.21509309,0.30766866,0.18411091,0.24004639
C018,Escherichia coli K-12 BW25113,BW25113_0162,0,0.18053865,0.05592494,0.1369877,0.06569942,0.1097876775
C018,Escherichia coli K-12 BW25113,BW25113_0163,0,0.09089866,0.22028106,0.39268512,0.091592796,0.19886440900000002
C018,Escherichia coli K-12 BW25113,BW25113_0164,0,0.14118144,0.3136731,0.33233953,0.16259365,0.23744693
C018,Escherichia coli K-12 BW25113,BW25113_0166,1,0.893977,0.9312454,0.69769716,0.8519371,0.843714165
C018,Escherichia coli K-12 BW25113,BW25113_0167,0,0.30780554,0.20848103,0.37158832,0.74762315,0.40887450999999997
C018,Escherichia coli K-12 BW25113,BW25113_0168,1,0.9022473,0.9135065,0.61930496,0.8945525,0.832402815
C018,Escherichia coli K-12 BW25113,BW25113_0169,1,0.94148016,0.93219984,0.77760553,0.9644313,0.9039292075
C018,Escherichia coli K-12 BW25113,BW25113_0170,1,0.91553783,0.9207236,0.77479255,0.9614723,0.89313157
C018,Escherichia coli K-12 BW25113,BW25113_0171,1,0.9366762,0.9460234,0.8377753,0.82953596,0.887502715
