file_id,organism,locus_tag,ess,conf,conf_eos,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.30686107,0.15835863,0.23260985
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.3253184,0.15618531,0.24075185500000001
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.7498754,0.462632,0.6062537
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.024148231,0.026611278,0.025379754499999997
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.0068647494,0.24594922,0.1264069847
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.09761205,0.23378257,0.16569731
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.0067492714,0.033351317,0.0200502942
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.8255354,0.847802,0.8366686999999999
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.62204844,0.9077454,0.76489692
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.96409047,0.91626704,0.940178755
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.93708384,0.9648802,0.95098202
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.95855445,0.98006195,0.9693082
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.87459946,0.9971392,0.93586933
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.982768,0.96745455,0.9751112749999999
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.9438681,0.9195468,0.93170745
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.99469984,0.99134326,0.9930215499999999
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.97301483,0.9922495,0.9826321650000001
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.9531443,0.99867404,0.97590917
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.48875925,0.93061703,0.7096881399999999
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.9494305,0.9791428,0.96428665
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.9760118,0.97049785,0.9732548249999999
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.9144694,0.9858517,0.95016055
C018,Escherichia coli K-12 BW25113,BW25113_0096,1,0.9439103,0.98375213,0.9638312149999999
C018,Escherichia coli K-12 BW25113,BW25113_0097,1,0.68412703,0.16856703,0.42634702999999996
C018,Escherichia coli K-12 BW25113,BW25113_0098,1,0.88737917,0.9180235,0.9027013349999999
C018,Escherichia coli K-12 BW25113,BW25113_0099,0,0.771445,0.22243652,0.49694076000000004
C018,Escherichia coli K-12 BW25113,BW25113_0101,0,0.13861516,0.013596998,0.076106079
C018,Escherichia coli K-12 BW25113,BW25113_0102,0,0.032787103,0.0018907693,0.017338936149999998
C018,Escherichia coli K-12 BW25113,BW25113_0103,0,0.64920837,0.98256314,0.815885755
C018,Escherichia coli K-12 BW25113,BW25113_0104,0,0.26508066,0.20868845,0.236884555
C018,Escherichia coli K-12 BW25113,BW25113_0106,0,0.013898117,0.007494603,0.01069636
