file_id,organism,locus_tag,ess,conf,conf_bos,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.08811773,0.030705461,0.059411595500000004
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.989674,0.9023922,0.9460331
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.00812693,0.035455782,0.021791355999999998
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.0055068866,0.0022417265,0.00387430655
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.46756187,0.6937942,0.580678035
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.54937905,0.49450788,0.521943465
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.9361213,0.9678982,0.95200975
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.9713082,0.92331034,0.94730927
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.03147262,0.003513017,0.0174928185
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.1967328,0.08134826,0.13904053
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.023542617,0.00031643116,0.011929524079999998
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.081073605,0.0742571,0.0776653525
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.040762134,0.26516297,0.152962552
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.06368418,0.00058314926,0.03213366463
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.017194048,0.0011560522,0.0091750501
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.0015310104,0.0042419415,0.00288647595
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.10089387,0.07553635,0.08821511
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.016853983,0.078922264,0.047888123500000004
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.030426683,0.39620516,0.2133159215
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.02028741,0.15901797,0.08965269000000001
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.42838842,0.078273036,0.253330728
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.57875055,0.52176136,0.5502559549999999
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.27184737,0.07470838,0.173277875
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.38465357,0.29956192,0.34210774499999996
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.761946,0.5682056,0.6650758
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.004396492,0.004824751,0.0046106215
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.094187036,0.07289635,0.083541693
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.17567742,0.16360793,0.16964267500000002
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.005500166,0.00028507187,0.0028926189349999997
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.9093629,0.7443087,0.8268358
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.66336477,0.9257234,0.7945440850000001
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.97109276,0.96673524,0.968914
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.9446149,0.9899249,0.9672699
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.98531264,0.99450374,0.98990819
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.95982957,0.9872076,0.973518585
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.9575864,0.9834223,0.9705043499999999
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.9946089,0.9548395,0.9747242
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.94438505,0.991139,0.967762025
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.9516654,0.98488694,0.96827617
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.9901155,0.9887216,0.98941855
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.92083055,0.9784297,0.949630125
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.9196223,0.99715686,0.95838958
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.9850631,0.9790116,0.9820373499999999
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.9444313,0.9869639,0.9656975999999999
C018,Escherichia coli K-12 BW25113,BW25113_0096,1,0.9941644,0.9942316,0.9941979999999999
C018,Escherichia coli K-12 BW25113,BW25113_0097,1,0.0003371583,0.005061014,0.00269908615
C018,Escherichia coli K-12 BW25113,BW25113_0098,1,0.9827756,0.9818326,0.9823041
C018,Escherichia coli K-12 BW25113,BW25113_0099,0,0.6164264,0.6654998,0.6409631
C018,Escherichia coli K-12 BW25113,BW25113_0101,0,0.025215711,0.0131714605,0.01919358575
C018,Escherichia coli K-12 BW25113,BW25113_0102,0,0.11191449,0.096236005,0.1040752475
C018,Escherichia coli K-12 BW25113,BW25113_0103,0,0.8832468,0.9564873,0.91986705
C018,Escherichia coli K-12 BW25113,BW25113_0104,0,0.4783114,0.061653957,0.2699826785
C018,Escherichia coli K-12 BW25113,BW25113_0106,0,0.007365327,0.058026925,0.032696126
C018,Escherichia coli K-12 BW25113,BW25113_0107,0,0.0033513645,4.5361474e-05,0.001698362987
